,sg_uf,dis_name,YEAR,cases,pop,pop_100k,mor_100k,mor_num,cnr_per 100k pop,res_cases,cured,t_com,died,fail,treat_death,p_cov,def,other,t_out,not_eva,fail_not_val_t_out,beds,fhs,fhs_sc,abandon,f_treated,has_prison,k50,pct_idc,temp,humi,rain
33,4,Jhalkhati,2010,789,750666,7.50666,43,322.78638,85.12,639,585,4,32.10328638,2,26,0.809885932,7,15,15,0,17,222,1.182949541,1.182949541,0.00887199,0.809885932,0,0.9847,0.00026643,26.55838318,81.43131555,5.072512644
34,4,Jhalkhati,2011,783,753604,7.53604,46,346.65784,83.07,626,584,6,31.26996805,1,25,0.799489144,4,10,10,0,11,222,1.178337695,1.178337695,0.005108557,0.799489144,0,0.9847,0.000132696,26.33592101,82.38708165,6.167599404
35,4,Jhalkhati,2012,867,"708,709",7.08709,45,318.91905,92.7,657,628,3,23.75342466,0,18,0.757785467,4,2,2,2,4,222,1.252982536,1.252982536,0.00461361,0.757785467,0,0.9847,0,25.62297155,82.02534287,4.958321615
36,4,Jhalkhati,2013,1031,"707,505",7.07505,51,360.82755,94.98,672,631,18,23.01339286,2,15,0.651794374,1,0,0,5,7,222,1.255114805,1.255114805,0.000969932,0.651794374,0,0.9847,0.000282684,25.65930726,82.08419098,6.406201736
37,4,Jhalkhati,2014,944,"706,304",7.06304,51,360.21504,132.66,647,606,11,21.88562597,0,15,0.685381356,10,1,1,4,5,222,1.257249003,1.257249003,0.01059322,0.685381356,0,0.9847,0,26.09315784,80.92438932,4.647618941
38,4,Jhalkhati,2015,1004,"705,104",7.05104,45,317.2968,141.96,675,610,25,34.21037037,3,23,0.672310757,10,2,2,2,7,222,1.259388686,1.259388686,0.009960159,0.672310757,0,0.9847,0.000425469,26.1629426,81.03143259,7.102531346
39,4,Jhalkhati,2016,1110,"703,906",7.03906,40,281.5624,156.84,764,710,0,39.22774869,1,27,0.688288288,14,3,3,9,13,222,1.26153208,1.26153208,0.012612613,0.688288288,0,0.9847,0.000142064,26.69227808,82.25633075,6.614111808
40,4,Jhalkhati,2017,1223,"702,711",7.02711,36,252.97596,173.76,870,822,0,23.89770115,2,17,0.711365495,18,3,3,8,13,222,1.263677387,1.263677387,0.014717907,0.711365495,0,0.9847,0.000284612,26.30288979,82.90128786,7.292202041
41,5,Patuakhali,2008,1832,1689552,16.89552,51,861.67152,94.4,1595,1509,34,40.20062696,0,35,0.870633188,7,10,10,0,10,545,1.290282868,1.290282868,0.003820961,0.870633188,0,0.9847,0,25.88981383,81.48009489,6.902261709
42,5,Patuakhali,2009,1934,1713314,17.13314,51,873.79014,97.18,1665,1559,12,72.01681682,1,62,0.860910031,9,22,22,0,23,545,1.272387899,1.272387899,0.004653568,0.860910031,0,0.9847,5.84E-05,26.38176361,82.69385394,6.024421687
43,5,Patuakhali,2010,1942,1737409,17.37409,43,747.08587,93.41,1623,1520,11,81.36537277,3,68,0.835736354,6,15,15,0,18,545,1.254741975,1.254741975,0.003089598,0.835736354,0,0.9847,0.000172671,26.57584249,82.03222292,6.082579392
44,5,Patuakhali,2011,1902,1761844,17.61844,46,810.44824,85.82,1512,1413,13,71.70238095,3,57,0.794952681,10,23,23,0,26,545,1.237339969,1.237339969,0.005257624,0.794952681,0,0.9847,0.000170276,26.35213169,83.86420501,7.12790493
45,5,Patuakhali,2012,2085,"1,604,063",16.04063,45,721.82835,103.3,1657,1561,25,76.75618588,2,61,0.794724221,8,0,0,0,2,545,1.359048865,1.359048865,0.00383693,0.794724221,0,0.9847,0.000124683,25.6807865,82.72104404,5.681885868
46,5,Patuakhali,2013,2633,"1,611,942",16.11942,51,822.09042,102.17,1647,1574,21,65.54523376,5,41,0.625522218,3,2,2,1,8,545,1.35240598,1.35240598,0.001139385,0.625522218,0,0.9847,0.000310185,25.58413854,82.50518117,7.276453632
47,5,Patuakhali,2014,2386,"1,619,860",16.1986,51,826.1286,141.93,1363,1258,43,84.02641233,6,48,0.571248952,4,4,4,0,10,545,1.345795316,1.345795316,0.001676446,0.571248952,0,0.9847,0.000370402,26.17878239,80.83470113,5.384539002
48,5,Patuakhali,2015,2607,"1,627,817",16.27817,45,732.51765,158.68,1469,1338,33,92.28318584,3,52,0.563482931,32,7,7,4,14,545,1.339216878,1.339216878,0.012274645,0.563482931,0,0.9847,0.000184296,26.18198819,81.44456692,8.219348098
49,5,Patuakhali,2016,2799,"1,635,812",16.35812,40,654.3248,170.86,1647,1503,0,96.86885246,6,57,0.588424437,72,6,6,3,15,545,1.332671481,1.332671481,0.025723473,0.588424437,0,0.9847,0.00036679,26.69834061,82.47732722,7.37324802
50,5,Patuakhali,2017,3014,"1,643,848",16.43848,36,591.78528,183.11,1840,1701,0,98.2826087,4,60,0.610484406,72,2,2,1,7,545,1.326156676,1.326156676,0.02388852,0.610484406,0,0.9847,0.000243332,26.3236775,83.5617851,8.007381748
